⟨ϵ⟩, ⟨|m|⟩
-1.9897, 0.992049
-1.98971, 0.992062
-1.98973, 0.992074
-1.98974, 0.992086
-1.98976, 0.992098
-1.98978, 0.99211
-1.98979, 0.992122
-1.98981, 0.992134
-1.98982, 0.992146
-1.98984, 0.992158
-1.98985, 0.99217
-1.98987, 0.992182
-1.98988, 0.992194
-1.9899, 0.992206
-1.98991, 0.992217
-1.98993, 0.992229
-1.98994, 0.992241
-1.98996, 0.992252
-1.98997, 0.992264
-1.98999, 0.992276
-1.98998, 0.99228
-1.98999, 0.992291
-1.99, 0.992303
-1.99002, 0.992314
-1.99003, 0.992326
-1.99005, 0.992337
-1.99006, 0.992348
-1.99008, 0.99236
-1.99009, 0.992371
-1.99011, 0.992382
-1.99012, 0.992393
-1.99012, 0.992401
-1.99012, 0.992408
-1.99014, 0.99242
-1.99015, 0.992431
-1.99015, 0.992439
-1.99015, 0.992445
-1.99017, 0.992456
-1.99018, 0.992467
-1.99019, 0.992478
-1.99021, 0.992489
-1.99022, 0.9925
-1.99024, 0.992511
-1.99023, 0.992516
-1.99024, 0.992525
-1.99025, 0.992536
-1.99026, 0.992547
-1.99028, 0.992558
-1.99029, 0.992568
-1.99031, 0.992579
-1.99032, 0.99259
-1.99033, 0.9926
-1.99035, 0.992611
-1.99035, 0.99262
-1.99035, 0.992625
-1.99036, 0.992635
-1.99037, 0.992646
-1.99039, 0.992656
-1.9904, 0.992666
-1.99041, 0.992677
-1.99043, 0.992687
-1.99044, 0.992697
-1.99045, 0.992708
-1.99047, 0.992718
-1.99048, 0.992728
-1.99049, 0.992738
-1.99051, 0.992748
-1.99049, 0.992751
-1.99048, 0.992755
-1.99049, 0.992765
-1.99051, 0.992775
-1.99052, 0.992785
-1.99052, 0.992792
-1.99052, 0.992798
-1.99053, 0.992808
-1.99054, 0.992818
-1.99056, 0.992828
-1.99057, 0.992838
-1.99058, 0.992847
-1.9906, 0.992857
-1.99061, 0.992867
-1.9906, 0.99287
-1.99061, 0.99288
-1.99062, 0.992889
-1.99063, 0.992899
-1.99064, 0.992909
-1.99066, 0.992919
-1.99067, 0.992928
-1.99068, 0.992938
-1.9907, 0.992947
-1.99071, 0.992957
-1.99072, 0.992965
-1.99071, 0.992969
-1.99072, 0.992979
-1.99073, 0.992988
-1.99074, 0.992997
-1.99076, 0.993007
-1.99077, 0.993016
-1.99078, 0.993026
-1.99079, 0.993033
-1.99078, 0.993038
-1.99079, 0.993047
-1.9908, 0.993056
-1.99082, 0.993065
-1.99083, 0.993075
-1.99084, 0.993084
-1.99085, 0.993093
-1.99086, 0.993102
-1.99088, 0.993111
-1.99089, 0.99312
-1.9909, 0.993129
-1.99091, 0.993138
-1.99092, 0.993147
-1.99094, 0.993156
-1.99095, 0.993165
-1.99096, 0.993174
-1.99097, 0.993183
-1.99098, 0.993192
-1.991, 0.993201
-1.99101, 0.99321
-1.991, 0.993213
-1.991, 0.993221
-1.99099, 0.993224
-1.991, 0.993232
-1.99101, 0.993241
-1.99102, 0.993249
-1.99104, 0.993258
-1.99105, 0.993267
-1.99106, 0.993276
-1.99107, 0.993284
-1.99108, 0.993293
-1.99108, 0.993299
-1.99108, 0.993304
-1.99109, 0.993312
-1.9911, 0.993321
-1.99111, 0.993329
-1.99106, 0.993316
-1.99102, 0.993308
-1.99101, 0.99331
-1.99102, 0.993319
-1.99103, 0.993327
-1.99104, 0.993336
-1.99105, 0.993344
-1.99107, 0.993352
-1.99107, 0.993359
-1.99106, 0.993363
-1.99107, 0.993371
-1.99109, 0.99338
-1.9911, 0.993388
-1.99109, 0.993393
-1.99109, 0.993398
-1.99111, 0.993406
-1.99112, 0.993415
-1.99113, 0.993423
-1.99113, 0.993429
-1.99112, 0.993433
-1.99114, 0.993441
-1.99115, 0.993449
-1.99114, 0.993452
-1.99114, 0.993459
-1.99114, 0.993464
-1.99114, 0.993469
-1.99115, 0.993477
-1.99116, 0.993485
-1.99117, 0.993493
-1.99118, 0.993501
-1.9912, 0.993509
-1.99121, 0.993517
-1.99122, 0.993525
-1.99123, 0.993533
-1.99124, 0.993541
-1.99125, 0.993549
-1.99126, 0.993557
-1.99127, 0.993565
-1.99128, 0.993572
-1.99129, 0.99358
-1.9913, 0.993588
-1.99131, 0.993596
-1.99132, 0.993604
-1.99133, 0.993611
-1.99134, 0.993619
-1.99135, 0.993627
-1.99136, 0.993634
-1.99138, 0.993642
-1.99139, 0.99365
-1.9914, 0.993657
-1.99141, 0.993665
-1.99139, 0.993667
-1.99136, 0.993662
-1.99137, 0.99367
-1.99138, 0.993677
-1.99136, 0.993679
-1.99137, 0.993686
-1.99138, 0.993694
-1.99139, 0.993701
