⟨ϵ⟩, ⟨|m|⟩
-1.22733, 0.419315
-1.22713, 0.419084
-1.22689, 0.418744
-1.22658, 0.418519
-1.22632, 0.418255
-1.22612, 0.417856
-1.22602, 0.417282
-1.22597, 0.416544
-1.22575, 0.415768
-1.22547, 0.415062
-1.22518, 0.414287
-1.22514, 0.413527
-1.22511, 0.412921
-1.22519, 0.412423
-1.22508, 0.411902
-1.22494, 0.411331
-1.2248, 0.411031
-1.22473, 0.410803
-1.22484, 0.410668
-1.22488, 0.410551
-1.22519, 0.410075
-1.22526, 0.409335
-1.22501, 0.408665
-1.22478, 0.40812
-1.22471, 0.407709
-1.22459, 0.407443
-1.22442, 0.407039
-1.22416, 0.406613
-1.22369, 0.406225
-1.22328, 0.405786
-1.22305, 0.405351
-1.22296, 0.404878
-1.22286, 0.404321
-1.22258, 0.403916
-1.22235, 0.403654
-1.22212, 0.403363
-1.22182, 0.4031
-1.22147, 0.402909
-1.22124, 0.402655
-1.22088, 0.402337
-1.22085, 0.402356
-1.22084, 0.402361
-1.22065, 0.402383
-1.22054, 0.402552
-1.22023, 0.402596
-1.22002, 0.402515
-1.21993, 0.40236
-1.21997, 0.402691
-1.21994, 0.403095
-1.22016, 0.403715
-1.22056, 0.40443
-1.22113, 0.405222
-1.22163, 0.405988
-1.22215, 0.406719
-1.22275, 0.407509
-1.22337, 0.408339
-1.2237, 0.409056
-1.22408, 0.409784
-1.22455, 0.410476
-1.22498, 0.411133
-1.22522, 0.411731
-1.22541, 0.412347
-1.22562, 0.412923
-1.22584, 0.4134
-1.22603, 0.41376
-1.22596, 0.413841
-1.22598, 0.413629
-1.22588, 0.413258
-1.22568, 0.412994
-1.22542, 0.412753
-1.22518, 0.412641
-1.22488, 0.412516
-1.22455, 0.41244
-1.22446, 0.4124
-1.2244, 0.412093
-1.22446, 0.411563
-1.22454, 0.410912
-1.22454, 0.410333
-1.22439, 0.409806
-1.2241, 0.409202
-1.22395, 0.408809
-1.22386, 0.408585
-1.22377, 0.408282
-1.22366, 0.40793
-1.22356, 0.407698
-1.22354, 0.407312
-1.22325, 0.40673
-1.22307, 0.406268
-1.2229, 0.405777
