T, ⟨ϵ⟩, ⟨|m|⟩, C_V, χ
Number of Monte Carlo cycles: 100
2.34343, -1.759, 0.924775, 0.31387, 0.0808492
2.35758, -1.7612, 0.925638, 0.309005, 0.0795121
2.37172, -1.7566, 0.9245, 0.310296, 0.0796887
2.38586, -1.7482, 0.921562, 0.315651, 0.0823457
2.4, -1.7501, 0.922113, 0.309965, 0.0814205
Number of Monte Carlo cycles: 100000
1, 0, 0.250001, 0, 0.25
1.01414, -1.99663, 0.998946, 0.0262082, 0.00291681
1.02828, 0, 0.250001, 0, 0.243124
1.04242, -1.99608, 0.998779, 0.0289131, 0.0032631
1.05657, -1.99604, 0.99876, 0.0283225, 0.00328787
1.07071, -1.99507, 0.998463, 0.0343181, 0.00400254
1.08485, -1.99501, 0.998439, 0.0338351, 0.00402614
1.09899, -1.9943, 0.998221, 0.0377139, 0.00451764
1.11313, -1.99429, 0.998214, 0.0367935, 0.00448261
1.12727, -1.9931, 0.997853, 0.043258, 0.00529735
1.14141, -1.99336, 0.997919, 0.0406989, 0.00511223
1.15556, 0, 0.250001, 0, 0.216346
1.1697, -1.99158, 0.997371, 0.0490551, 0.00627073
1.18384, -1.99107, 0.997221, 0.0508327, 0.00651408
1.19798, -1.99067, 0.99709, 0.0517657, 0.00675815
1.21212, -1.98874, 0.996495, 0.0609386, 0.00802383
1.22626, -1.98799, 0.996258, 0.0635381, 0.00848022
1.2404, -1.98739, 0.996059, 0.0651526, 0.00884822
1.25455, -1.9874, 0.996054, 0.0636419, 0.00878024
1.26869, -1.98564, 0.99551, 0.0709105, 0.00985614
1.28283, -1.98401, 0.995016, 0.0773053, 0.0107833
1.29697, -1.98279, 0.99463, 0.0811677, 0.0114803
1.31111, -1.98196, 0.994386, 0.083291, 0.0118422
1.32525, 0, 0.250001, 0, 0.188643
1.33939, 0, 0.250001, 0, 0.186652
1.35354, -1.97782, 0.993058, 0.0959311, 0.0142532
1.36768, 0, 0.250001, 0, 0.182792
1.38182, -1.97613, 0.992566, 0.0989629, 0.0148619
1.39596, 0, 0.250001, 0, 0.179088
1.4101, 0, 0.250001, 0, 0.177292
1.42424, -1.97159, 0.991124, 0.110651, 0.0172424
1.43838, 0, 0.250001, 0, 0.173806
1.45253, 0, 0.250001, 0, 0.172114
1.46667, -1.96605, 0.989383, 0.124266, 0.0199937
1.48081, -1.9644, 0.988879, 0.12786, 0.0207135
1.49495, -1.9629, 0.988413, 0.13061, 0.0213605
1.50909, -1.96039, 0.987635, 0.136756, 0.022539
1.52323, -1.95961, 0.987385, 0.136673, 0.0227729
1.53737, 0, 0.250001, 0, 0.162615
1.55152, -1.95531, 0.986064, 0.145767, 0.0246441
1.56566, -1.95165, 0.984882, 0.154503, 0.0265198
1.5798, -1.95216, 0.985043, 0.150161, 0.0260065
1.59394, 0, 0.250001, 0, 0.156844
1.60808, -1.94667, 0.983329, 0.161452, 0.028435
1.62222, -1.9444, 0.982607, 0.164871, 0.029364
1.63636, -1.94138, 0.981668, 0.170495, 0.0306201
1.65051, -1.93836, 0.980735, 0.176245, 0.0318663
1.66465, -1.93596, 0.98, 0.1798, 0.0327427
1.67879, 0, 0.250001, 0, 0.148917
1.69293, 0, 0.250001, 0, 0.147673
1.70707, -1.92809, 0.977533, 0.191536, 0.0357869
1.72121, 0, 0.250001, 0, 0.145246
1.73535, -1.92348, 0.976111, 0.196256, 0.0372632
1.74949, -1.92003, 0.97502, 0.201881, 0.0386706
1.76364, 0, 0.250001, 0, 0.141753
1.77778, -1.91338, 0.972974, 0.21119, 0.0410011
1.79192, 0, 0.250001, 0, 0.139515
1.80606, -1.9058, 0.970604, 0.221294, 0.04372
1.8202, -1.90659, 0.970789, 0.216417, 0.0432558
1.83434, -1.90294, 0.969676, 0.220789, 0.0444052
1.84848, 0, 0.250001, 0, 0.135246
1.86263, -1.89749, 0.968034, 0.226096, 0.0459594
1.87677, -1.89028, 0.965771, 0.236918, 0.0486321
1.89091, -1.88984, 0.96561, 0.234823, 0.04859
1.90505, -1.88302, 0.963491, 0.24438, 0.0509755
1.91919, -1.88345, 0.963627, 0.240302, 0.0504552
1.93333, -1.87769, 0.961829, 0.247839, 0.0524376
1.94747, -1.87843, 0.962045, 0.242753, 0.0517812
1.96162, 0, 0.250001, 0, 0.127446
1.97576, -1.86987, 0.959422, 0.251846, 0.0543431
1.9899, 0, 0.250001, 0, 0.125635
2.00404, -1.86217, 0.956994, 0.257999, 0.0565879
2.01818, -1.85736, 0.955476, 0.262558, 0.0580612
2.03232, -1.85591, 0.955036, 0.262186, 0.0582784
2.04646, -1.84975, 0.953145, 0.268065, 0.0599978
2.06061, 0, 0.250001, 0, 0.121324
2.07475, -1.83896, 0.949773, 0.278195, 0.0631637
2.08889, -1.83963, 0.94998, 0.273719, 0.0625342
2.10303, -1.83346, 0.948079, 0.279704, 0.0642807
