T, ⟨ϵ⟩, ⟨|m|⟩, C_V, χ
Number of Monte Carlo cycles: 100
1.11313, -1.99096, 0.996987, 0.0581057, 0.00808694
1.12727, -1.99011, 0.996705, 0.0619526, 0.00873208
1.14141, -1.98921, 0.996403, 0.065924, 0.00940865
1.15556, -1.98825, 0.996083, 0.0700169, 0.0101169
1.1697, -1.98723, 0.995743, 0.0742279, 0.0108569
1.18384, -1.98615, 0.995383, 0.0785534, 0.0116288
1.19798, -1.98501, 0.995003, 0.0829895, 0.0124327
1.21212, -1.9838, 0.994601, 0.0875322, 0.0132684
1.22626, -1.98253, 0.994177, 0.0921771, 0.014136
1.2404, -1.98119, 0.993732, 0.0969197, 0.0150353
1.25455, -1.97979, 0.993264, 0.101755, 0.0159661
1.26869, -1.97831, 0.992773, 0.106679, 0.0169281
1.28283, -1.97677, 0.992258, 0.111687, 0.017921
1.29697, -1.97516, 0.99172, 0.116772, 0.0189444
1.31111, -1.97347, 0.991158, 0.121931, 0.019998
1.32525, -1.97171, 0.990571, 0.127157, 0.0210811
1.33939, -1.96987, 0.989959, 0.132446, 0.0221934
1.35354, -1.96796, 0.989323, 0.137792, 0.0233342
1.36768, -1.96597, 0.988661, 0.143189, 0.0245029
1.38182, -1.96391, 0.987973, 0.148632, 0.0256988
1.39596, -1.96177, 0.98726, 0.154116, 0.0269213
1.4101, -1.95955, 0.986521, 0.159635, 0.0281696
1.42424, -1.95725, 0.985756, 0.165183, 0.0294429
1.43838, -1.95488, 0.984965, 0.170755, 0.0307403
1.45253, -1.95243, 0.984147, 0.176346, 0.0320611
1.46667, -1.94989, 0.983303, 0.181949, 0.0334044
1.48081, -1.94728, 0.982433, 0.187561, 0.0347692
1.49495, -1.94459, 0.981536, 0.193175, 0.0361547
1.50909, -1.94182, 0.980613, 0.198786, 0.0375598
1.52323, -1.93896, 0.979664, 0.204389, 0.0389835
1.53737, -1.93603, 0.978688, 0.20998, 0.040425
1.55152, -1.93303, 0.977686, 0.215552, 0.0418831
1.56566, -1.92994, 0.976658, 0.221102, 0.0433569
1.5798, -1.92677, 0.975604, 0.226624, 0.0448453
1.59394, -1.92353, 0.974524, 0.232115, 0.0463473
1.60808, -1.92021, 0.973418, 0.237569, 0.0478617
1.62222, -1.91681, 0.972287, 0.242982, 0.0493876
1.63636, -1.91334, 0.97113, 0.248351, 0.0509239
1.65051, -1.90979, 0.969948, 0.25367, 0.0524695
1.66465, -1.90616, 0.968742, 0.258936, 0.0540234
1.67879, -1.90246, 0.967511, 0.264146, 0.0555845
1.69293, -1.89869, 0.966255, 0.269296, 0.0571518
1.70707, -1.89485, 0.964976, 0.274381, 0.0587241
1.72121, -1.89093, 0.963673, 0.2794, 0.0603005
1.73535, -1.88695, 0.962346, 0.284349, 0.06188
1.74949, -1.88289, 0.960997, 0.289225, 0.0634614
1.76364, -1.87877, 0.959624, 0.294024, 0.0650439
1.77778, -1.87457, 0.95823, 0.298745, 0.0666264
1.79192, -1.87032, 0.956813, 0.303385, 0.068208
1.80606, -1.86599, 0.955375, 0.307942, 0.0697877
1.8202, -1.86161, 0.953916, 0.312413, 0.0713645
1.83434, -1.85716, 0.952437, 0.316796, 0.0729376
1.84848, -1.85265, 0.950936, 0.321089, 0.074506
1.86263, -1.84808, 0.949416, 0.325291, 0.0760688
1.87677, -1.84345, 0.947877, 0.3294, 0.0776253
1.89091, -1.83876, 0.946319, 0.333415, 0.0791745
1.90505, -1.83402, 0.944742, 0.337334, 0.0807156
1.91919, -1.82922, 0.943147, 0.341156, 0.082248
