T, ⟨ϵ⟩, ⟨|m|⟩, C_V, χ
Lattice size: 40×40
2.26531, -1.40142, 0.50549, 2.74785, 131.06
2.28367, -1.35665, 0.341311, 2.34486, 152.622
2.30816, -1.30981, 0.206861, 1.75555, 84.4516
2.32041, -1.29181, 0.185982, 1.63365, 70.5501
2.29592, -1.33251, 0.280958, 2.1024, 124.896
2.3449, -1.25798, 0.1414, 1.48769, 44.8637
2.33265, -1.27395, 0.16304, 1.57878, 56.5848
2.36939, -1.22659, 0.114445, 1.34254, 29.8305
2.35714, -1.24246, 0.126743, 1.41577, 36.921
2.39388, -1.19891, 0.0965346, 1.22821, 21.6475
2.38163, -1.21263, 0.10426, 1.29967, 26.2716
2.10612, -1.64445, 0.855148, 1.38121, 7.29126
2.12449, -1.62515, 0.843237, 1.43228, 7.1767
2.14286, -1.60355, 0.820892, 1.68506, 36.067
2.16122, -1.58228, 0.81328, 1.5487, 4.48576
2.17959, -1.55876, 0.793041, 1.70202, 7.4156
2.19796, -1.53198, 0.763841, 1.85001, 18.7256
2.21633, -1.50365, 0.734176, 2.00146, 14.6666
2.23469, -1.47084, 0.681621, 2.29607, 38.9565
2.25306, -1.43032, 0.579453, 2.71148, 114.83
2.27143, -1.38585, 0.445161, 2.65609, 154.04
2.2898, -1.34665, 0.33127, 2.30258, 136.305
2.31429, -1.30227, 0.209869, 1.76413, 85.4617
2.30204, -1.32308, 0.260708, 1.98328, 112.721
2.32653, -1.28411, 0.183727, 1.68135, 68.6364
2.33878, -1.26661, 0.151991, 1.52102, 49.4513
2.35102, -1.25057, 0.137993, 1.43887, 39.6945
2.36327, -1.23452, 0.120028, 1.37375, 32.0339
2.37551, -1.21971, 0.107589, 1.29939, 26.9127
2.38776, -1.20626, 0.101336, 1.25912, 23.7445
2.4, -1.19256, 0.0926139, 1.21898, 19.8898
2.11224, -1.638, 0.849826, 1.41596, 12.8524
2.13061, -1.61867, 0.839927, 1.45825, 4.48099
2.14898, -1.5965, 0.813256, 1.73137, 40.9996
2.16735, -1.57428, 0.802204, 1.69601, 23.3114
2.18571, -1.54981, 0.782445, 1.78885, 15.2194
2.20408, -1.52489, 0.762097, 1.79471, 8.32636
2.22245, -1.49157, 0.714747, 2.10661, 22.4837
2.24082, -1.45662, 0.648688, 2.40222, 67.6408
2.25918, -1.41382, 0.539738, 2.72101, 112.172
2.27755, -1.3733, 0.41261, 2.72548, 147.722
